Phylum,Class,Genus,number of occurrences
Bigyra,Bigyra,Opalina,147
Bigyra,Bigyra,Parietichytrium,43
Bigyra,Bigyra,Placidia,216
Bigyra,Bigyra,Proteromonas,66
Bigyra,Bigyra,Protoopalina,3
Bigyra,Bigyra,Schizochytrium,520
Bigyra,Bigyra,Suigetsumonas,149
Bigyra,Bigyra,Thraustochytrium,650
Bigyra,Bigyra,unknown,391
Blastocladiomycota,Blastocladiomycetes,Allomyces,395
Blastocladiomycota,Blastocladiomycetes,Blastocladiella,166
Blastocladiomycota,Blastocladiomycetes,Catenaria,313
Blastocladiomycota,Blastocladiomycetes,Catenophlyctis,15
Blastocladiomycota,Blastocladiomycetes,Coelomomyces,66
Blastocladiomycota,Blastocladiomycetes,Microallomyces,11
Blastocladiomycota,Physodermatomycetes,Physoderma,32
Blastocladiomycota,unknown,Myrmicinosporidium,1
Bolidophyceae,Bolidophyceae,Bolidomonas,295
Bolidophyceae,Bolidophyceae,Triparma,924
Bolidophyceae,Bolidophyceae,unknown,72
Brachiopoda,Craniata,Novocrania,71
Brachiopoda,Lingulata,Glottidia,10
Brachiopoda,Lingulata,Lingula,242
Brachiopoda,Rhynchonellata,Hemithiris,1
Brachiopoda,Rhynchonellata,Macandrevia,1
Brachiopoda,Rhynchonellata,Magellania,1
Brachiopoda,Rhynchonellata,Megathiris,1
Brachiopoda,Rhynchonellata,Terebratalia,34
Brachiopoda,Rhynchonellata,Terebratulina,8
Brachiopoda,unknown,unknown,2
Breviatea,Breviatea,Breviata,54
Breviatea,Breviatea,Pygsuia,21
Breviatea,Breviatea,Subulatomonas,6
Bryozoa,Gymnolaemata,Aetea,2
Bryozoa,Gymnolaemata,Alcyonidioides,1
Bryozoa,Gymnolaemata,Alcyonidium,9
Bryozoa,Gymnolaemata,Amastigia,2
Bryozoa,Gymnolaemata,Amathia,10
Bryozoa,Gymnolaemata,Anguinella,1
Bryozoa,Gymnolaemata,Bugula,246
Bryozoa,Gymnolaemata,Bugulina,4
Bryozoa,Gymnolaemata,Celleporella,2
Bryozoa,Gymnolaemata,Celleporina,1
Bryozoa,Gymnolaemata,Conopeum,12
Bryozoa,Gymnolaemata,Crisularia,4
Bryozoa,Gymnolaemata,Cryptosula,1
Bryozoa,Gymnolaemata,Escharoides,2
Bryozoa,Gymnolaemata,Exochella,1
Bryozoa,Gymnolaemata,Fenestrulina,3
Bryozoa,Gymnolaemata,Flustra,98
Bryozoa,Gymnolaemata,Membranipora,4
Bryozoa,Gymnolaemata,Micropora,1
Bryozoa,Gymnolaemata,Microporella,1
Bryozoa,Gymnolaemata,Otionellina,1
Bryozoa,Gymnolaemata,Tricellaria,1
Bryozoa,Gymnolaemata,Virididentula,2
Bryozoa,Gymnolaemata,Watersipora,15
Bryozoa,Gymnolaemata,unknown,2
Bryozoa,Phylactolaemata,Cristatella,3
Bryozoa,Phylactolaemata,Fredericella,1
Bryozoa,Phylactolaemata,Lophopus,1
Bryozoa,Phylactolaemata,Pectinatella,2
Bryozoa,Phylactolaemata,Plumatella,20
Bryozoa,Stenolaemata,Annectocyma,1
Bryozoa,Stenolaemata,Heteropora,1
Bryozoa,Stenolaemata,Tubulipora,15
Centroplasthelida,Centroplasthelida,Chlamydaster,12
Centroplasthelida,Centroplasthelida,Heterophrys,62
Centroplasthelida,Centroplasthelida,Marophrys,143
Centroplasthelida,Centroplasthelida,Pterocystis,8
Centroplasthelida,Centroplasthelida,Raphidocystis,114
Cercozoa,Cercomonadida,Cercomonas,449
Cercozoa,Cercomonadida,Heteromita,60
Cercozoa,Cercomonadida,Paracercomonas,46
Cercozoa,Cercomonadida,Phytocercomonas,35
Cercozoa,Chlorarachniophyceae,Amorphochlora,85
Cercozoa,Chlorarachniophyceae,Bigelowiella,226
Cercozoa,Chlorarachniophyceae,Chlorarachnion,76
Cercozoa,Chlorarachniophyceae,Gymnochlora,183
Cercozoa,Chlorarachniophyceae,Lotharella,266
Cercozoa,Chlorarachniophyceae,Partenskyella,79
Cercozoa,Chlorarachniophyceae,unknown,19
Cercozoa,Glissomonadida,Aurigamonas,135
Cercozoa,Glissomonadida,Bodomorpha,58
Cercozoa,Glissomonadida,Proleptomonas,37
Cercozoa,Imbricatea,Assulina,15
Cercozoa,Imbricatea,Corythionella,82
Cercozoa,Imbricatea,Euglypha,70
Cercozoa,Imbricatea,Metopion,16
Cercozoa,Imbricatea,Metromonas,16
Cercozoa,Imbricatea,Paulinella,1062
Cercozoa,Imbricatea,Protaspis,116
Cercozoa,Imbricatea,Spongomonas,31
Cercozoa,Imbricatea,Thaumatomastix,10
Cercozoa,Imbricatea,Thaumatomonas,265
Cercozoa,Thecofilosea,Aulacantha,18
Cercozoa,Thecofilosea,Capsellina,15
Cercozoa,Thecofilosea,Cryothecomonas,71
Cercozoa,Thecofilosea,Ebria,34
Cercozoa,Thecofilosea,Lecythium,21
Cercozoa,Thecofilosea,Mataza,9
Cercozoa,Thecofilosea,Verrucomonas,129
Cercozoa,Thecofilosea,unknown,7
Cercozoa,unknown,Cholamonas,11
Cercozoa,unknown,Clathrulina,1
Cercozoa,unknown,Clautriavia,114
Cercozoa,unknown,Gymnophrys,49
Cercozoa,unknown,Hedriocystis,2
Cercozoa,unknown,Helkesimastix,15
Cercozoa,unknown,Massisteria,67
Cercozoa,unknown,Mesofila,26
Cercozoa,unknown,Rosculus,9
Cercozoa,unknown,Sainouron,10
Cercozoa,unknown,unknown,120
Chaetognatha,Sagittoidea,Decipisagitta,5
Chaetognatha,Sagittoidea,Eukrohnia,1
Chaetognatha,Sagittoidea,Flaccisagitta,28
Chaetognatha,Sagittoidea,Parasagitta,77
Chaetognatha,Sagittoidea,Paraspadella,13
Chaetognatha,Sagittoidea,Pseudosagitta,8
Chaetognatha,Sagittoidea,Sagitta,7
Chaetognatha,Sagittoidea,Spadella,104
Chaetognatha,Sagittoidea,Zonosagitta,16
Chaetognatha,Sagittoidea,unknown,2
Chaetognatha,unknown,unknown,21
Chlorophyta,Chlorodendrophyceae,Scherffelia,216
Chlorophyta,Chlorodendrophyceae,Tetraselmis,1361
Chlorophyta,Chlorodendrophyceae,unknown,10
Chlorophyta,Chlorophyceae,Acutodesmus,8
Chlorophyta,Chlorophyceae,Alvikia,9
Chlorophyta,Chlorophyceae,Ankistrodesmus,168
Chlorophyta,Chlorophyceae,Ankyra,178
Chlorophyta,Chlorophyceae,Aphanochaete,272
Chlorophyta,Chlorophyceae,Ascochloris,1
Chlorophyta,Chlorophyceae,Asterarcys,157
Chlorophyta,Chlorophyceae,Asterococcus,37
Chlorophyta,Chlorophyceae,Asteromonas,7
Chlorophyta,Chlorophyceae,Astrephomene,320
Chlorophyta,Chlorophyceae,Atractomorpha,187
Chlorophyta,Chlorophyceae,Balticola,30
Chlorophyta,Chlorophyceae,Basichlamys,173
Chlorophyta,Chlorophyceae,Borodinellopsis,105
Chlorophyta,Chlorophyceae,Botryosphaerella,22
Chlorophyta,Chlorophyceae,Brachiomonas,22
Chlorophyta,Chlorophyceae,Bracteacoccus,703
Chlorophyta,Chlorophyceae,Bracteamorpha,58
Chlorophyta,Chlorophyceae,Bulbochaete,19
Chlorophyta,Chlorophyceae,Carteria,503
Chlorophyta,Chlorophyceae,Chaetopeltis,169
Chlorophyta,Chlorophyceae,Chaetophora,197
Chlorophyta,Chlorophyceae,Chaetophoropsis,213
Chlorophyta,Chlorophyceae,Characiochloris,138
Chlorophyta,Chlorophyceae,Characiopodium,117
Chlorophyta,Chlorophyceae,Characiosiphon,7
Chlorophyta,Chlorophyceae,Chlainomonas,49
Chlorophyta,Chlorophyceae,Chlamydomonas,4322
Chlorophyta,Chlorophyceae,Chlorochiton,8
Chlorophyta,Chlorophyceae,Chlorochytrium,27
Chlorophyta,Chlorophyceae,Chlorococcum,282
Chlorophyta,Chlorophyceae,Chlorogonium,145
Chlorophyta,Chlorophyceae,Chlorolobion,13
Chlorophyta,Chlorophyceae,Chloromonas,1489
Chlorophyta,Chlorophyceae,Chlorosarcina,322
Chlorophyta,Chlorophyceae,Chlorosarcinopsis,169
Chlorophyta,Chlorophyceae,Chlorotetraedron,131
Chlorophyta,Chlorophyceae,Chodatodesmus,15
Chlorophyta,Chlorophyceae,Chromochloris,198
Chlorophyta,Chlorophyceae,Coelastrella,184
Chlorophyta,Chlorophyceae,Coelastrum,13
Chlorophyta,Chlorophyceae,Colemanosphaera,300
Chlorophyta,Chlorophyceae,Coleochlamys,4
Chlorophyta,Chlorophyceae,Comasiella,21
Chlorophyta,Chlorophyceae,Cylindrocapsa,131
Chlorophyta,Chlorophyceae,Desmodesmus,390
Chlorophyta,Chlorophyceae,Dictyochloris,158
Chlorophyta,Chlorophyceae,Dictyococcus,11
Chlorophyta,Chlorophyceae,Dispora,17
Chlorophyta,Chlorophyceae,Draparnaldia,88
Chlorophyta,Chlorophyceae,Dunaliella,860
Chlorophyta,Chlorophyceae,Dysmorphococcus,5
Chlorophyta,Chlorophyceae,Edaphochlamys,247
Chlorophyta,Chlorophyceae,Enallax,21
Chlorophyta,Chlorophyceae,Ettlia,161
Chlorophyta,Chlorophyceae,Eudorina,714
Chlorophyta,Chlorophyceae,Fasciculochloris,15
Chlorophyta,Chlorophyceae,Flechtneria,14
Chlorophyta,Chlorophyceae,Floydiella,111
Chlorophyta,Chlorophyceae,Follicularia,182
Chlorophyta,Chlorophyceae,Fritschiella,71
Chlorophyta,Chlorophyceae,Gloeodendron,7
Chlorophyta,Chlorophyceae,Gloeomonas,24
Chlorophyta,Chlorophyceae,Golenkinia,165
Chlorophyta,Chlorophyceae,Gonium,792
Chlorophyta,Chlorophyceae,Gungnir,18
Chlorophyta,Chlorophyceae,Gymnomonas,10
Chlorophyta,Chlorophyceae,Haematococcus,268
Chlorophyta,Chlorophyceae,Hafniomonas,264
Chlorophyta,Chlorophyceae,Halochlorella,29
Chlorophyta,Chlorophyceae,Hamakko,1
Chlorophyta,Chlorophyceae,Hapalochloris,4
Chlorophyta,Chlorophyceae,Hariotina,321
Chlorophyta,Chlorophyceae,Hemiflagellochloris,2
Chlorophyta,Chlorophyceae,Heterochlamydomonas,4
Chlorophyta,Chlorophyceae,Hormotilopsis,16
Chlorophyta,Chlorophyceae,Hyalomonas,2
Chlorophyta,Chlorophyceae,Hydrodictyon,105
Chlorophyta,Chlorophyceae,Ixipapillifera,3
Chlorophyta,Chlorophyceae,Jenufa,258
Chlorophyta,Chlorophyceae,Kirchneriella,158
Chlorophyta,Chlorophyceae,Koshicola,119
Chlorophyta,Chlorophyceae,Lacunastrum,90
Chlorophyta,Chlorophyceae,Lobocharacium,2
Chlorophyta,Chlorophyceae,Lobochlamys,414
Chlorophyta,Chlorophyceae,Lobomonas,170
Chlorophyta,Chlorophyceae,Macrochloris,1
Chlorophyta,Chlorophyceae,Messastrum,58
Chlorophyta,Chlorophyceae,Microglena,207
Chlorophyta,Chlorophyceae,Microspora,334
Chlorophyta,Chlorophyceae,Monoraphidium,381
Chlorophyta,Chlorophyceae,Mychonastes,474
Chlorophyta,Chlorophyceae,Neochloris,147
Chlorophyta,Chlorophyceae,Neochlorosarcina,25
Chlorophyta,Chlorophyceae,Neocystis,201
Chlorophyta,Chlorophyceae,Nephrocytium,12
Chlorophyta,Chlorophyceae,Oedocladium,256
Chlorophyta,Chlorophyceae,Oedogonium,894
Chlorophyta,Chlorophyceae,Oogamochlamys,163
Chlorophyta,Chlorophyceae,Oophila,27
Chlorophyta,Chlorophyceae,Ourococcus,159
Chlorophyta,Chlorophyceae,Palmellopsis,137
Chlorophyta,Chlorophyceae,Paludistella,36
Chlorophyta,Chlorophyceae,Pandorina,344
Chlorophyta,Chlorophyceae,Parallela,145
Chlorophyta,Chlorophyceae,Parapediastrum,18
Chlorophyta,Chlorophyceae,Pascherina,15
Chlorophyta,Chlorophyceae,Paulschulzia,172
Chlorophyta,Chlorophyceae,Pectinodesmus,128
Chlorophyta,Chlorophyceae,Pediastrum,340
Chlorophyta,Chlorophyceae,Phacotus,93
Chlorophyta,Chlorophyceae,Phaeophila,14
Chlorophyta,Chlorophyceae,Planktococcomyxa,1
Chlorophyta,Chlorophyceae,Planktosphaeria,138
Chlorophyta,Chlorophyceae,Platydorina,66
Chlorophyta,Chlorophyceae,Pleodorina,603
Chlorophyta,Chlorophyceae,Pleurastrum,188
Chlorophyta,Chlorophyceae,Ploeotila,26
Chlorophyta,Chlorophyceae,Podohedriella,47
Chlorophyta,Chlorophyceae,Polytoma,27
Chlorophyta,Chlorophyceae,Polytomella,464
Chlorophyta,Chlorophyceae,Protosiphon,149
Chlorophyta,Chlorophyceae,Pseudocarteria,13
Chlorophyta,Chlorophyceae,Pseudomuriella,248
Chlorophyta,Chlorophyceae,Pseudopediastrum,367
Chlorophyta,Chlorophyceae,Pseudoschroederia,6
Chlorophyta,Chlorophyceae,Pteromonas,107
Chlorophyta,Chlorophyceae,Pyrobotrys,31
Chlorophyta,Chlorophyceae,Radiococcus,11
Chlorophyta,Chlorophyceae,Radiofilum,144
Chlorophyta,Chlorophyceae,Raphidocelis,256
Chlorophyta,Chlorophyceae,Rhysamphichloris,14
Chlorophyta,Chlorophyceae,Rotundella,143
Chlorophyta,Chlorophyceae,Rusalka,6
Chlorophyta,Chlorophyceae,Sanguina,1
Chlorophyta,Chlorophyceae,Scenedesmus,1021
Chlorophyta,Chlorophyceae,Schizochlamys,15
Chlorophyta,Chlorophyceae,Schizomeris,159
Chlorophyta,Chlorophyceae,Schroederia,105
Chlorophyta,Chlorophyceae,Selenastrum,19
Chlorophyta,Chlorophyceae,Spermatozopsis,144
Chlorophyta,Chlorophyceae,Sphaeroplea,151
Chlorophyta,Chlorophyceae,Spongiosarcinopsis,1
Chlorophyta,Chlorophyceae,Stauridium,119
Chlorophyta,Chlorophyceae,Stephanosphaera,159
Chlorophyta,Chlorophyceae,Stigeoclonium,166
Chlorophyta,Chlorophyceae,Tabris,3
Chlorophyta,Chlorophyceae,Tetrabaena,245
Chlorophyta,Chlorophyceae,Tetracystis,6
Chlorophyta,Chlorophyceae,Tetradesmus,318
Chlorophyta,Chlorophyceae,Tetraflagellochloris,151
Chlorophyta,Chlorophyceae,Tetraspora,57
Chlorophyta,Chlorophyceae,Treubaria,123
Chlorophyta,Chlorophyceae,Trochiscia,182
Chlorophyta,Chlorophyceae,Tumidella,41
Chlorophyta,Chlorophyceae,Uronema,219
Chlorophyta,Chlorophyceae,Uvulifera,72
Chlorophyta,Chlorophyceae,Variochloris,13
Chlorophyta,Chlorophyceae,Vitreochlamys,615
Chlorophyta,Chlorophyceae,Volvox,2823
Chlorophyta,Chlorophyceae,Volvulina,453
Chlorophyta,Chlorophyceae,Westella,50
Chlorophyta,Chlorophyceae,Yamagishiella,176
Chlorophyta,Chlorophyceae,unknown,3159
Chlorophyta,Chloropicophyceae,Chloroparvula,1524
Chlorophyta,Chloropicophyceae,Chloropicon,1844
Chlorophyta,Mamiellophyceae,Bathycoccus,249
Chlorophyta,Mamiellophyceae,Crustomastix,75
Chlorophyta,Mamiellophyceae,Dolichomastix,105
Chlorophyta,Mamiellophyceae,Mamiella,1
Chlorophyta,Mamiellophyceae,Mantoniella,197
Chlorophyta,Mamiellophyceae,Micromonas,1539
Chlorophyta,Mamiellophyceae,Microrhizoidea,200
Chlorophyta,Mamiellophyceae,Monomastix,279
Chlorophyta,Mamiellophyceae,Ostreococcus,906
Chlorophyta,Mamiellophyceae,unknown,530
Chlorophyta,Nephroselmidophyceae,Nephroselmis,669
Chlorophyta,Palmophyllophyceae,Palmophyllum,192
Chlorophyta,Palmophyllophyceae,Prasinococcus,395
Chlorophyta,Palmophyllophyceae,Verdigellas,152
Chlorophyta,Palmophyllophyceae,unknown,23
Chlorophyta,Pedinophyceae,Marsupiomonas,186
Chlorophyta,Pedinophyceae,Pedinomonas,394
Chlorophyta,Pedinophyceae,Protoeuglena,3
Chlorophyta,Pedinophyceae,Scourfieldia,4
Chlorophyta,Pedinophyceae,unknown,234
Chlorophyta,Picocystophyceae,Picocystis,225
Chlorophyta,Pyramimonadophyceae,Cymbomonas,230
Chlorophyta,Pyramimonadophyceae,Polyblepharides,58
Chlorophyta,Pyramimonadophyceae,Pterosperma,200
Chlorophyta,Pyramimonadophyceae,Pyramimonas,394
Chlorophyta,Trebouxiophyceae,Actinastrum,110
Chlorophyta,Trebouxiophyceae,Asterochloris,323
Chlorophyta,Trebouxiophyceae,Auxenochlorella,443
Chlorophyta,Trebouxiophyceae,Binuclearia,200
Chlorophyta,Trebouxiophyceae,Botryococcus,581
Chlorophyta,Trebouxiophyceae,Calidiella,6
Chlorophyta,Trebouxiophyceae,Chlorella,2530
Chlorophyta,Trebouxiophyceae,Chloroidium,290
Chlorophyta,Trebouxiophyceae,Choricystis,217
Chlorophyta,Trebouxiophyceae,Closteriopsis,10
Chlorophyta,Trebouxiophyceae,Coccomyxa,1253
Chlorophyta,Trebouxiophyceae,Dicloster,182
Chlorophyta,Trebouxiophyceae,Dictyochloropsis,6
Chlorophyta,Trebouxiophyceae,Dictyosphaerium,35
Chlorophyta,Trebouxiophyceae,Diplosphaera,282
Chlorophyta,Trebouxiophyceae,Ecballocystis,17
Chlorophyta,Trebouxiophyceae,Ecballocystopsis,21
Chlorophyta,Trebouxiophyceae,Edaphochlorella,190
Chlorophyta,Trebouxiophyceae,Edaphochloris,1
Chlorophyta,Trebouxiophyceae,Elliptochloris,669
Chlorophyta,Trebouxiophyceae,Eremochloris,1
Chlorophyta,Trebouxiophyceae,Eremosphaera,82
Chlorophyta,Trebouxiophyceae,Fusochloris,191
Chlorophyta,Trebouxiophyceae,Geminella,201
Chlorophyta,Trebouxiophyceae,Gloeotila,18
Chlorophyta,Trebouxiophyceae,Granulocystopsis,1
Chlorophyta,Trebouxiophyceae,Helicosporidium,507
Chlorophyta,Trebouxiophyceae,Hemichloris,167
Chlorophyta,Trebouxiophyceae,Heveochlorella,80
Chlorophyta,Trebouxiophyceae,Jaagichlorella,406
Chlorophyta,Trebouxiophyceae,Kalinella,16
Chlorophyta,Trebouxiophyceae,Koliella,595
Chlorophyta,Trebouxiophyceae,Lagerheimia,5
Chlorophyta,Trebouxiophyceae,Leptochlorella,1
Chlorophyta,Trebouxiophyceae,Leptosira,11
Chlorophyta,Trebouxiophyceae,Lobosphaera,224
Chlorophyta,Trebouxiophyceae,Lobosphaeropsis,2
Chlorophyta,Trebouxiophyceae,Lunachloris,1
Chlorophyta,Trebouxiophyceae,Makinoella,9
Chlorophyta,Trebouxiophyceae,Marvania,193
Chlorophyta,Trebouxiophyceae,Massjukichlorella,3
Chlorophyta,Trebouxiophyceae,Micractinium,1013
Chlorophyta,Trebouxiophyceae,Microthamnion,193
Chlorophyta,Trebouxiophyceae,Muriella,2
Chlorophyta,Trebouxiophyceae,Myrmecia,195
Chlorophyta,Trebouxiophyceae,Mysteriochloris,13
Chlorophyta,Trebouxiophyceae,Nannochloris,100
Chlorophyta,Trebouxiophyceae,Neglectella,191
Chlorophyta,Trebouxiophyceae,Oocystella,17
Chlorophyta,Trebouxiophyceae,Oocystidium,2
Chlorophyta,Trebouxiophyceae,Oocystis,38
Chlorophyta,Trebouxiophyceae,Parachlorella,217
Chlorophyta,Trebouxiophyceae,Paradoxia,163
Chlorophyta,Trebouxiophyceae,Parietochloris,205
Chlorophyta,Trebouxiophyceae,Phyllosiphon,37
Chlorophyta,Trebouxiophyceae,Picochlorum,384
Chlorophyta,Trebouxiophyceae,Planctonema,12
Chlorophyta,Trebouxiophyceae,Polulichloris,18
Chlorophyta,Trebouxiophyceae,Prasiola,849
Chlorophyta,Trebouxiophyceae,Prasiolopsis,181
Chlorophyta,Trebouxiophyceae,Prasionella,3
Chlorophyta,Trebouxiophyceae,Prasionema,8
Chlorophyta,Trebouxiophyceae,Prototheca,1546
Chlorophyta,Trebouxiophyceae,Pseudobohlinia,28
Chlorophyta,Trebouxiophyceae,Pseudochlorella,390
Chlorophyta,Trebouxiophyceae,Pseudochloris,183
Chlorophyta,Trebouxiophyceae,Pseudochoricystis,24
Chlorophyta,Trebouxiophyceae,Pseudococcomyxa,259
Chlorophyta,Trebouxiophyceae,Pseudopleurococcus,6
Chlorophyta,Trebouxiophyceae,Pseudostichococcus,1
Chlorophyta,Trebouxiophyceae,Quadricoccopsis,2
Chlorophyta,Trebouxiophyceae,Quadricoccus,2
Chlorophyta,Trebouxiophyceae,Raphidonema,211
Chlorophyta,Trebouxiophyceae,Reticulocystis,7
Chlorophyta,Trebouxiophyceae,Rosenvingiella,211
Chlorophyta,Trebouxiophyceae,Rosenvingiellopsis,43
Chlorophyta,Trebouxiophyceae,Siderocystopsis,1
Chlorophyta,Trebouxiophyceae,Stichococcus,307
Chlorophyta,Trebouxiophyceae,Symbiochloris,354
Chlorophyta,Trebouxiophyceae,Tetrachlorella,5
Chlorophyta,Trebouxiophyceae,Tetratostichococcus,151
Chlorophyta,Trebouxiophyceae,Trebouxia,3779
Chlorophyta,Trebouxiophyceae,Trichophilus,5
Chlorophyta,Trebouxiophyceae,Watanabea,197
Chlorophyta,Trebouxiophyceae,Willea,9
Chlorophyta,Trebouxiophyceae,Xylochloris,197
Chlorophyta,Trebouxiophyceae,unknown,4325
Chlorophyta,Ulvophyceae,Acetabularia,537
Chlorophyta,Ulvophyceae,Acrosiphonia,43
Chlorophyta,Ulvophyceae,Avrainvillea,242
Chlorophyta,Ulvophyceae,Batophora,408
Chlorophyta,Ulvophyceae,Blastophysa,127
Chlorophyta,Ulvophyceae,Blidingia,204
Chlorophyta,Ulvophyceae,Boergesenia,19
Chlorophyta,Ulvophyceae,Bolbocoleon,68
Chlorophyta,Ulvophyceae,Boodlea,35
Chlorophyta,Ulvophyceae,Boodleopsis,154
Chlorophyta,Ulvophyceae,Bornetella,42
Chlorophyta,Ulvophyceae,Bryopsis,668
Chlorophyta,Ulvophyceae,Callipsygma,37
Chlorophyta,Ulvophyceae,Capsosiphon,155
Chlorophyta,Ulvophyceae,Caulerpa,1054
Chlorophyta,Ulvophyceae,Cephaleuros,67
Chlorophyta,Ulvophyceae,Chaetomorpha,88
Chlorophyta,Ulvophyceae,Chalmasia,89
Chlorophyta,Ulvophyceae,Chlorocystis,3
Chlorophyta,Ulvophyceae,Chlorodesmis,49
Chlorophyta,Ulvophyceae,Chloroplegma,2
Chlorophyta,Ulvophyceae,Cladophora,147
Chlorophyta,Ulvophyceae,Cloniophora,8
Chlorophyta,Ulvophyceae,Codium,891
Chlorophyta,Ulvophyceae,Ctenocladus,3
Chlorophyta,Ulvophyceae,Cymopolia,34
Chlorophyta,Ulvophyceae,Dasycladus,176
Chlorophyta,Ulvophyceae,Derbesia,190
Chlorophyta,Ulvophyceae,Desmochloris,1
Chlorophyta,Ulvophyceae,Dichotomosiphon,77
Chlorophyta,Ulvophyceae,Flabellia,155
Chlorophyta,Ulvophyceae,Gayralia,20
Chlorophyta,Ulvophyceae,Gloeotilopsis,346
Chlorophyta,Ulvophyceae,Halicoryne,141
Chlorophyta,Ulvophyceae,Halimeda,977
Chlorophyta,Ulvophyceae,Halochlorococcum,177
Chlorophyta,Ulvophyceae,Hazenia,150
Chlorophyta,Ulvophyceae,Ignatius,177
Chlorophyta,Ulvophyceae,Johnson-sea-linkia,55
Chlorophyta,Ulvophyceae,Kornmannia,45
Chlorophyta,Ulvophyceae,Kraftalia,6
Chlorophyta,Ulvophyceae,Kraftionema,20
Chlorophyta,Ulvophyceae,Lambia,148
Chlorophyta,Ulvophyceae,Lithotrichon,6
Chlorophyta,Ulvophyceae,Monostroma,116
Chlorophyta,Ulvophyceae,Neodangemannia,187
Chlorophyta,Ulvophyceae,Neomeris,164
Chlorophyta,Ulvophyceae,Ochlochaete,23
Chlorophyta,Ulvophyceae,Oltmannsiellopsis,201
Chlorophyta,Ulvophyceae,Ostreobium,779
Chlorophyta,Ulvophyceae,Parvocaulis,151
Chlorophyta,Ulvophyceae,Paulbroadya,1
Chlorophyta,Ulvophyceae,Pedobesia,96
Chlorophyta,Ulvophyceae,Penicillus,9
Chlorophyta,Ulvophyceae,Percursaria,16
Chlorophyta,Ulvophyceae,Phyllodictyon,23
Chlorophyta,Ulvophyceae,Pithophora,4
Chlorophyta,Ulvophyceae,Planophila,4
Chlorophyta,Ulvophyceae,Poropsis,116
Chlorophyta,Ulvophyceae,Protomonostroma,24
Chlorophyta,Ulvophyceae,Pseudobryopsis,117
Chlorophyta,Ulvophyceae,Pseudocharacium,125
Chlorophyta,Ulvophyceae,Pseudochlorodesmis,139
Chlorophyta,Ulvophyceae,Pseudocodium,82
Chlorophyta,Ulvophyceae,Pseudoderbesia,120
Chlorophyta,Ulvophyceae,Pseudoneochloris,189
Chlorophyta,Ulvophyceae,Rama,5
Chlorophyta,Ulvophyceae,Rhexinema,241
Chlorophyta,Ulvophyceae,Rhipidodesmis,1
Chlorophyta,Ulvophyceae,Rhipidosiphon,65
Chlorophyta,Ulvophyceae,Rhipilia,88
Chlorophyta,Ulvophyceae,Rhipiliopsis,71
Chlorophyta,Ulvophyceae,Rhipiliospina,4
Chlorophyta,Ulvophyceae,Rhipocephalus,1
Chlorophyta,Ulvophyceae,Sarcinofilum,162
Chlorophyta,Ulvophyceae,Scotinosphaera,185
Chlorophyta,Ulvophyceae,Siphonocladus,25
Chlorophyta,Ulvophyceae,Spongomorpha,17
Chlorophyta,Ulvophyceae,Symbiochlorum,3
Chlorophyta,Ulvophyceae,Trentepohlia,185
Chlorophyta,Ulvophyceae,Tupiella,156
Chlorophyta,Ulvophyceae,Tydemania,127
Chlorophyta,Ulvophyceae,Udotea,190
Chlorophyta,Ulvophyceae,Udoteopsis,1
Chlorophyta,Ulvophyceae,Ulothrix,166
Chlorophyta,Ulvophyceae,Ulva,4268
Chlorophyta,Ulvophyceae,Ulvaria,1
Chlorophyta,Ulvophyceae,Ulvella,104
Chlorophyta,Ulvophyceae,Umbraulva,134
Chlorophyta,Ulvophyceae,Urospora,39
Chlorophyta,Ulvophyceae,Valonia,48
Chlorophyta,Ulvophyceae,Ventalia,86
Chlorophyta,Ulvophyceae,Vischerioclonium,26
Chlorophyta,Ulvophyceae,unknown,1204
Chlorophyta,unknown,Pseudoscourfieldia,206
Chlorophyta,unknown,Pycnococcus,248
Chlorophyta,unknown,Tetraedoron,9
Chlorophyta,unknown,unknown,2214
Choanoflagellata,Choanoflagellata,Acanthoeca,83
Choanoflagellata,Choanoflagellata,Choanoeca,71
Choanoflagellata,Choanoflagellata,Codosiga,22
Choanoflagellata,Choanoflagellata,Diaphanoeca,85
Choanoflagellata,Choanoflagellata,Didymoeca,98
Choanoflagellata,Choanoflagellata,Enibas,72
Choanoflagellata,Choanoflagellata,Hartaetosiga,132
Choanoflagellata,Choanoflagellata,Helgoeca,79
Choanoflagellata,Choanoflagellata,Microstomoeca,50
Choanoflagellata,Choanoflagellata,Monosiga,739
Choanoflagellata,Choanoflagellata,Mylnosiga,9
Choanoflagellata,Choanoflagellata,Paramonosiga,50
Choanoflagellata,Choanoflagellata,Proterospongia,6
Choanoflagellata,Choanoflagellata,Salpingoeca,1106
Choanoflagellata,Choanoflagellata,Savillea,70
Choanoflagellata,Choanoflagellata,Sphaeroeca,1
Choanoflagellata,Choanoflagellata,Stephanoeca,121
Choanoflagellata,Choanoflagellata,unknown,18
Chordata,Actinopteri,Abantennarius,2
Chordata,Actinopteri,Ablennes,5
Chordata,Actinopteri,Abramis,1
Chordata,Actinopteri,Abramites,1
Chordata,Actinopteri,Abudefduf,5
Chordata,Actinopteri,Acanthaphritis,1
Chordata,Actinopteri,Acanthochromis,232
Chordata,Actinopteri,Acanthodoras,2
Chordata,Actinopteri,Acanthogobius,67
Chordata,Actinopteri,Acanthopagrus,348
Chordata,Actinopteri,Acanthopoma,1
