Metagenome sample,Phylum,Class,count
D0057A_S3,Arthropoda,Diplura,2.1105729150177816e-05
D0057A_S3,Arthropoda,Hexanauplia,0.01709915823316906
D0057A_S3,Arthropoda,Ichthyostraca,1.4070486100118544e-05
D0057A_S3,Arthropoda,Insecta,0.05412212478410598
D0057A_S3,Arthropoda,Malacostraca,0.0070950426159847755
D0057A_S3,Arthropoda,Merostomata,0.0005944780377300085
D0057A_S3,Arthropoda,Mystacocarida,3.517621525029636e-06
D0057A_S3,Arthropoda,Ostracoda,0.002483440796670923
D0057A_S3,Arthropoda,Pauropoda,1.0552864575088908e-05
D0057A_S3,Arthropoda,Protura,3.517621525029636e-06
D0057A_S3,Arthropoda,Pycnogonida,0.0037919960039819478
D0057A_S3,Arthropoda,Remipedia,2.8140972200237088e-05
D0057A_S3,Arthropoda,Symphyla,2.8140972200237088e-05
D0057A_S3,Arthropoda,Thecostraca,0.002085949564342574
D0057A_S3,Arthropoda,unknown,5.276432287544454e-05
D0057A_S3,Ascomycota,Arthoniomycetes,7.387005202562236e-05
D0057A_S3,Ascomycota,Candelariomycetes,7.035243050059272e-06
D0057A_S3,Ascomycota,Dothideomycetes,0.004073405725984318
D0057A_S3,Ascomycota,Eurotiomycetes,0.0034437514730040137
D0057A_S3,Ascomycota,Geoglossomycetes,4.92467013504149e-05
D0057A_S3,Ascomycota,Lecanoromycetes,0.0003623150170780525
D0057A_S3,Ascomycota,Leotiomycetes,0.001614588279988603
D0057A_S3,Ascomycota,Neolectomycetes,2.8140972200237088e-05
D0057A_S3,Ascomycota,Orbiliomycetes,0.00016884583320142253
D0057A_S3,Ascomycota,Pezizomycetes,0.0006120661453551567
D0057A_S3,Ascomycota,Pneumocystomycetes,0.0002040220484517189
D0057A_S3,Ascomycota,Saccharomycetes,0.003760337410256681
D0057A_S3,Ascomycota,Schizosaccharomycetes,0.00016181059015136324
D0057A_S3,Ascomycota,Sordariomycetes,0.00444627360763746
D0057A_S3,Ascomycota,Taphrinomycetes,9.145815965077054e-05
D0057A_S3,Ascomycota,Xylonomycetes,1.4070486100118544e-05
D0057A_S3,Ascomycota,unknown,0.00011959913185100763
D0057A_S3,Aurearenophyceae,Aurearenophyceae,4.572907982538527e-05
D0057A_S3,Bacillariophyta,Bacillariophyceae,0.06563178241400294
D0057A_S3,Bacillariophyta,Coscinodiscophyceae,0.04011495587143797
D0057A_S3,Bacillariophyta,Fragilariophyceae,0.004569390361013497
D0057A_S3,Bacillariophyta,Mediophyceae,0.01150262238684691
D0057A_S3,Bacillariophyta,unknown,0.000984934027008298
D0057A_S3,Basidiomycota,Agaricomycetes,0.007562886278813717
D0057A_S3,Basidiomycota,Dacrymycetes,0.00015125772557627435
D0057A_S3,Basidiomycota,Exobasidiomycetes,0.0005276432287544453
D0057A_S3,Basidiomycota,Malasseziomycetes,0.00023216302065195597
D0057A_S3,Basidiomycota,Microbotryomycetes,0.0006929714404308383
D0057A_S3,Basidiomycota,Mixiomycetes,4.572907982538527e-05
D0057A_S3,Basidiomycota,Pucciniomycetes,0.0007000066834808975
D0057A_S3,Basidiomycota,Tremellomycetes,0.00125579088443558
