Metagenome sample,Phylum,Class,percent_TPM,ASV sample,18S reads
1903c123_70m-3,Annelida,Clitellata,4.01428347636996e-06,CN19_Nisk_PB_Dusk_70m_3,0.0
1903c124_100m-2,Annelida,Clitellata,2.623361916889697e-06,CN19_Nisk_PB_Night_100m_2,0.0
1903c124_100m-3,Annelida,Clitellata,2.735493791391264e-06,CN19_Nisk_PB_Night_100m_3,0.0
1903c124_15m-1,Annelida,Clitellata,1.2869201459585222e-06,CN19_Nisk_PB_Night_15m_1,0.0
1903c124_15m-2,Annelida,Clitellata,1.3757787987034983e-06,CN19_Nisk_PB_Night_15m_2,0.0
1903c124_5m-1,Annelida,Clitellata,3.1322477867579147e-06,CN19_Nisk_PB_Night_5m_1,0.0
1903c124_5m-2,Annelida,Clitellata,2.747196278741664e-06,CN19_Nisk_PB_Night_5m_2,0.0
1903c111_100m-1,Annelida,Clitellata,8.666625309460851e-07,CN19_Nisk_PS_Dawn_100m_1,0.0
1903c111_100m-2,Annelida,Clitellata,3.896788875620346e-06,CN19_Nisk_PS_Dawn_100m_2,0.0
1903c111_10m-1,Annelida,Clitellata,4.663069517192572e-07,CN19_Nisk_PS_Dawn_10m_1,0.0
1903c111_10m-2,Annelida,Clitellata,1.1275494655193084e-05,CN19_Nisk_PS_Dawn_10m_2,0.0
1903c111_5m-1,Annelida,Clitellata,6.920007217592823e-06,CN19_Nisk_PS_Dawn_5m_1,0.0
Las19c107_10m-1,Annelida,Clitellata,2.4879760070599475e-06,CN19_Nisk_PS_Dusk_10m_1,0.0
Las19c107_10m-2,Annelida,Clitellata,2.0825502917393666e-06,CN19_Nisk_PS_Dusk_10m_2,0.0
Las19c107_5m-1,Annelida,Clitellata,1.4321038680563627e-06,CN19_Nisk_PS_Dusk_5m_1,0.0
Las19c107_5m-2,Annelida,Clitellata,1.8689426565306318e-07,CN19_Nisk_PS_Dusk_5m_2,0.0
Las19c107_75m-1,Annelida,Clitellata,1.8915962014256257e-06,CN19_Nisk_PS_Dusk_75m_1,0.0
Las19c107_75m-2,Annelida,Clitellata,9.53153485699624e-07,CN19_Nisk_PS_Dusk_75m_2,0.0
Las19c107_75m-3,Annelida,Clitellata,2.776791615888999e-06,CN19_Nisk_PS_Dusk_75m_3,0.0
1903c119_100m-1,Annelida,Clitellata,3.524693294570232e-06,CN19_Nisk_SM_Dawn_100m_1,0.0
1903c119_100m-2,Annelida,Clitellata,3.1126385020209054e-06,CN19_Nisk_SM_Dawn_100m_2,0.0
1903c119_100m-3,Annelida,Clitellata,5.2373151006371525e-06,CN19_Nisk_SM_Dawn_100m_3,0.0
1903c119_11m-2,Annelida,Clitellata,5.307124304162678e-06,CN19_Nisk_SM_Dawn_11m_2,0.0
1903c119_5m-2,Annelida,Clitellata,1.1931261069956494e-06,CN19_Nisk_SM_Dawn_5m_1,0.0
1903c114_100m-1,Annelida,Clitellata,1.932301209859104e-06,CN19_Nisk_SM_Day_100m_1,0.0
1903c114_100m-3,Annelida,Clitellata,5.291206701733057e-06,CN19_Nisk_SM_Day_100m_3,0.0
1903c117_100m-1,Annelida,Clitellata,1.8267587861230085e-06,CN19_Nisk_SM_Dusk_100m_1,0.0
1903c117_100m-2,Annelida,Clitellata,2.1046114970557333e-06,CN19_Nisk_SM_Dusk_100m_2,0.0
1903c117_100m-3,Annelida,Clitellata,2.636216918130258e-06,CN19_Nisk_SM_Dusk_100m_3,0.0
1903c117_50m-1,Annelida,Clitellata,5.171583876499728e-06,CN19_Nisk_SM_Dusk_50m_1,0.0
1903c117_50m-2,Annelida,Clitellata,1.3997641706483116e-06,CN19_Nisk_SM_Dusk_50m_2,0.0
1903c117_5m-1,Annelida,Clitellata,5.942933596945318e-06,CN19_Nisk_SM_Dusk_5m_1,0.0
1903c118_100m-1,Annelida,Clitellata,2.374178198299636e-06,CN19_Nisk_SM_Night_100m_1,0.0
1903c118_100m-2,Annelida,Clitellata,5.824818426291414e-06,CN19_Nisk_SM_Night_100m_2,0.0
D0057A,Annelida,Clitellata,2.3649147920000414e-06,Lasker18Sc122_17_D0057,0.0
D0058A,Annelida,Clitellata,1.3262119544099875e-06,Lasker18Sc122_19_D0058,0.0
D0053A,Annelida,Clitellata,6.37663189230384e-07,Lasker18Sc122_5_D0053,0.0
D0068A,Annelida,Clitellata,5.0857382568079535e-06,Lasker18Sc123_17_D0068,0.0
D0069A,Annelida,Clitellata,3.3075547895373694e-05,Lasker18Sc123_19_D0069,0.0
D0063A,Annelida,Clitellata,2.346413519667234e-06,Lasker18Sc123_3_D0063,0.0
D0064A,Annelida,Clitellata,9.987978357043388e-07,Lasker18Sc123_5_D0064,0.0
D0079A,Annelida,Clitellata,9.177439031689496e-07,Lasker18Sc124_19_D0079,0.0
D0073A,Annelida,Clitellata,4.865659331210423e-06,Lasker18Sc124_3_D0073,0.0
D0074A,Annelida,Clitellata,6.479013594319949e-07,Lasker18Sc124_5_D0074,0.0
D0090A,Annelida,Clitellata,3.951389709290086e-06,Lasker18Sc126_17_D0090,0.0
D0100A,Annelida,Clitellata,2.7304829182524404e-06,Lasker18Sc127_17_D0100,0.0
D0101A,Annelida,Clitellata,3.079793194372355e-06,Lasker18Sc127_19_D0101,0.0
D0095A,Annelida,Clitellata,9.612918383592034e-07,Lasker18Sc127_3_D0095,0.0
D0096A,Annelida,Clitellata,8.262425295808407e-07,Lasker18Sc127_5_D0096,0.0
D0110A,Annelida,Clitellata,2.585173267768726e-06,Lasker18Sc128_16_D0110,0.0
D0111A,Annelida,Clitellata,1.5876534202360351e-06,Lasker18Sc128_19_D0111,0.0
D0107A,Annelida,Clitellata,2.290434319201906e-06,Lasker18Sc128_7_D0107,0.0
D0121A,Annelida,Clitellata,1.757140652898287e-06,Lasker18Sc129_17_D0121,0.0
D0122A,Annelida,Clitellata,2.185341043266656e-06,Lasker18Sc129_19_D0122,0.0
D0116A,Annelida,Clitellata,2.778952941676278e-06,Lasker18Sc129_3_D0116,0.0
D0117A,Annelida,Clitellata,4.989260989461385e-06,Lasker18Sc129_5_D0117,0.0
D0132A,Annelida,Clitellata,3.668727676104686e-06,Lasker18Sc130_17_D0132,0.0
D0133A,Annelida,Clitellata,3.570677216792788e-06,Lasker18Sc130_19_D0133,0.0
D0127A,Annelida,Clitellata,8.287880398812355e-07,Lasker18Sc130_3_D0127,0.0
D0128A,Annelida,Clitellata,1.3111244293973417e-06,Lasker18Sc130_5_D0128,0.0
D0142A,Annelida,Clitellata,2.673107057225889e-06,Lasker18Sc132_17_D0142,0.0
D0143A,Annelida,Clitellata,5.06990836314128e-06,Lasker18Sc132_19_D0143,0.0
D0137A,Annelida,Clitellata,1.0286312631080058e-06,Lasker18Sc132_3_D0137,0.0
D0138A,Annelida,Clitellata,1.32608408830621e-06,Lasker18Sc132_5_D0138,0.0
D0152A,Annelida,Clitellata,1.7703819631947516e-06,Lasker18Sc133_17_D0152,0.0
D0153A,Annelida,Clitellata,1.975514715580068e-06,Lasker18Sc133_19_D0153,0.0
D0147A,Annelida,Clitellata,1.1189741828385003e-06,Lasker18Sc133_3_D0147,0.0
D0148A,Annelida,Clitellata,1.825330990933782e-06,Lasker18Sc133_5_D0148,0.0
D0163A,Annelida,Clitellata,2.103451297845318e-06,Lasker18Sc134_17_D0163,0.0
D0164A,Annelida,Clitellata,1.2757566087064277e-06,Lasker18Sc134_19_D0164,0.0
D0158A,Annelida,Clitellata,1.1839243910541443e-06,Lasker18Sc134_3_D0158,0.0
D0159A,Annelida,Clitellata,1.3482113982135725e-06,Lasker18Sc134_5_D0159,0.0
D0173A,Annelida,Clitellata,8.381545648948638e-06,Lasker18Sc135_17_D0173,0.0
D0174A,Annelida,Clitellata,3.296401597085125e-06,Lasker18Sc135_19_D0174,0.0
D0275A,Annelida,Clitellata,7.91129868537172e-06,Lasker18Sc158_17_D0275,0.0
D0276A,Annelida,Clitellata,8.969062435743521e-06,Lasker18Sc158_19_D0276,0.0
D0270A,Annelida,Clitellata,4.424077403599457e-06,Lasker18Sc158_3_D0270,0.0
D0271A,Annelida,Clitellata,1.5421820692814537e-06,Lasker18Sc158_5_D0271,0.0
zr2760_52,Annelida,Polychaeta,7.299420622718635e-06,CN18FESPkoa_SC24,0.0007929179380118052
zr2760_64,Annelida,Polychaeta,7.560440518795587e-06,CN18FESPkoa_SC26,0.000371227671747342
zr2760_79,Annelida,Polychaeta,2.286584204335034e-05,CN18FESPkoa_SC29,0.0006282376281273115
zr2760_59,Annelida,Polychaeta,9.03825679624817e-06,CN18FESPkoa_SC30,0.0007298186586177976
zr2760_48,Annelida,Polychaeta,1.2784306812678131e-05,CN18FESPkoa_SC31,0.0012767382477289202
zr2760_50,Annelida,Polychaeta,8.76569805101519e-06,CN18FESPkoa_SC32,0.0007579585649316306
zr2760_38,Annelida,Polychaeta,7.1356103184518585e-06,CN18FESPkoa_SC34,0.0008698893997762709
zr2760_62,Annelida,Polychaeta,3.649834118474886e-06,CN18FESPkoa_SC35,0.001045549595417605
zr2760_53,Annelida,Polychaeta,6.045460552530691e-06,CN18FESPkoa_SC37,0.0007227026629755212
zr2760_49,Annelida,Polychaeta,1.1298173155778067e-05,CN18FESPkoa_SC40,0.0003037371822908444
zr2760_31,Annelida,Polychaeta,8.283630962317013e-06,CN18FESPkoa_SC41,0.0007632216934542051
zr2760_37,Annelida,Polychaeta,8.087536913711357e-06,CN18FESPkoa_SC43,0.0007537003479849592
zr2760_34,Annelida,Polychaeta,5.203687620691038e-06,CN18FESPkoa_SC44,0.0007162080041668463
zr2760_46,Annelida,Polychaeta,1.4228497984560438e-05,CN18FESPkoa_SC46,0.0008374923087440269
zr2760_18,Annelida,Polychaeta,8.01484724601493e-06,CN18FESPkoa_SC47,0.0009374338504339066
zr2760_56,Annelida,Polychaeta,7.04718466747527e-06,CN18FESPkoa_SC49,0.0006959098460018296
zr2760_41,Annelida,Polychaeta,6.878191057148459e-06,CN18FESPkoa_SC52,0.0007263695580859624
zr2760_35,Annelida,Polychaeta,8.675009941636865e-06,CN18FESPkoa_SC53,0.0009378426732843496
zr2760_33,Annelida,Polychaeta,5.746157713050991e-06,CN18FESPkoa_SC55,0.0007407407407405827
zr2760_51,Annelida,Polychaeta,9.213370833290515e-06,CN18FESPkoa_SC56,0.001001287369474989
zr2760_39,Annelida,Polychaeta,3.947142497124231e-06,CN18FESPkoa_SC57,0.0018635672600654197
zr2760_44,Annelida,Polychaeta,3.464951577012978e-06,CN18FESPkoa_SC58,0.0016161521525272359
zr2760_45,Annelida,Polychaeta,1.2522434126917096e-05,CN18Fc12_8_eDNA,0.0013813021912473774
zr2760_67,Annelida,Polychaeta,2.0840420109917578e-05,CN18Fc19_5_eDNA,0.0009156985062666515
zr2760_54,Annelida,Polychaeta,1.6094946988297582e-05,CN18Fc21_6_eDNA,0.0017877458150493796
zr2760_63,Annelida,Polychaeta,2.2017444868041588e-05,CN18Fc22_6_eDNA,0.001130965844831283
zr2760_65,Annelida,Polychaeta,1.7620360303816473e-05,CN18Fc24_6_eDNA,0.0004952596575632032
zr2760_42,Annelida,Polychaeta,1.0536061502764331e-05,CN18Fc25_5_eDNA,0.0006264904409681914
zr2760_66,Annelida,Polychaeta,2.590680727053625e-05,CN18Fc27_4_eDNA,0.0005981403273457615
zr2760_16,Annelida,Polychaeta,2.301748439392625e-05,CN18Fc29_6_eDNA,0.00120756119084099
zr2760_28,Annelida,Polychaeta,1.7530119765211552e-05,CN18Fc30_4_eDNA,0.0011390284757117662
zr2760_58,Annelida,Polychaeta,8.386055731119722e-06,CN18Fc32_4_eDNA,0.0018475058670792
zr2760_40,Annelida,Polychaeta,1.7801433677555524e-05,CN18Fc33_5_eDNA,0.001052470015567611
zr2760_36,Annelida,Polychaeta,1.6423909564895243e-05,CN18Fc35_5_eDNA,0.0019029093369417503
zr2760_47,Annelida,Polychaeta,1.6611992990963866e-05,CN18Fc36_6_eDNA,0.0010194020622000866
zr2760_60,Annelida,Polychaeta,1.5327122130765012e-05,CN18Fc38_5_eDNA,0.0010372931588045378
zr2760_68,Annelida,Polychaeta,1.56287464921774e-05,CN18Fc40_6_eDNA,0.0006319718992959075
zr2760_57,Annelida,Polychaeta,0.0001219898693302,CN18Fc41_6_eDNA,0.0008202619081881353
zr2760_55,Annelida,Polychaeta,1.0229441809818112e-05,CN18Fc43_5_eDNA,0.0016500116198000512
zr2760_32,Annelida,Polychaeta,1.4286953648176056e-05,CN18Fc44_8_eDNA,0.0012978047770258994
zr2760_76,Annelida,Polychaeta,5.5642044904639e-05,CN18Fc46_8_eDNA,0.0012713660121484562
zr2760_69,Annelida,Polychaeta,4.528251009992045e-05,CN18Fc47_6_eDNA,0.0005614325394479604
zr2760_75,Annelida,Polychaeta,3.433956209217293e-05,CN18Fc49_6_eDNA,0.0011154611666408
