Phylum,Class,18S sample,18S reads
Acantharea,Acantharea,CN19_Nisk_Far_5m_1,0
Acantharea,Acantharea,CN19_Nisk_Far_5m_2,0
Acantharea,Acantharea,CN19_Nisk_Far_60m_1,0.000187459
Acantharea,Acantharea,CN19_Nisk_Far_60m_2,0.000439873
Acantharea,Acantharea,CN19_Nisk_Far_60m_3,0.000141333
Acantharea,Acantharea,CN19_Nisk_MO_Dawn_100m_1,0.002111718
Acantharea,Acantharea,CN19_Nisk_MO_Dawn_100m_2,0.002951192
Acantharea,Acantharea,CN19_Nisk_MO_Dawn_100m_3,0.002751657
Acantharea,Acantharea,CN19_Nisk_MO_Dawn_26m_1,0.000138116
Acantharea,Acantharea,CN19_Nisk_MO_Dawn_26m_2,0.000165026
Acantharea,Acantharea,CN19_Nisk_MO_Dawn_5m_1,0
Acantharea,Acantharea,CN19_Nisk_MO_Dawn_5m_2,8.53E-05
Acantharea,Acantharea,CN19_Nisk_MO_Night_100m_2,0.00126338
Acantharea,Acantharea,CN19_Nisk_MO_Night_100m_3,0.001302623
Acantharea,Acantharea,CN19_Nisk_MO_Night_5m_1,2.70E-05
Acantharea,Acantharea,CN19_Nisk_MO_Night_5m_2,0
Acantharea,Acantharea,CN19_Nisk_MO_Night_7m_1,0
Acantharea,Acantharea,CN19_Nisk_MO_Night_7m_2,1.21E-05
Acantharea,Acantharea,CN19_Nisk_PB_Dawn_100m_1,0.014270524
Acantharea,Acantharea,CN19_Nisk_PB_Dawn_100m_2,0.014326337
Acantharea,Acantharea,CN19_Nisk_PB_Dawn_100m_3,0.011805279
Acantharea,Acantharea,CN19_Nisk_PB_Dawn_45m_1,0.000140677
Acantharea,Acantharea,CN19_Nisk_PB_Dawn_45m_2,7.75E-05
Acantharea,Acantharea,CN19_Nisk_PB_Dawn_5m_1,2.16E-05
Acantharea,Acantharea,CN19_Nisk_PB_Dawn_5m_2,0
Acantharea,Acantharea,CN19_Nisk_PB_Day_100m_1,0.00204451
Acantharea,Acantharea,CN19_Nisk_PB_Day_100m_2,0.002575093
Acantharea,Acantharea,CN19_Nisk_PB_Day_100m_3,0.002010159
Acantharea,Acantharea,CN19_Nisk_PB_Day_28m_1,5.20E-05
Acantharea,Acantharea,CN19_Nisk_PB_Day_28m_2,1.74E-05
Acantharea,Acantharea,CN19_Nisk_PB_Day_5m_1,0.00014587
Acantharea,Acantharea,CN19_Nisk_PB_Day_5m_2,3.33E-05
Acantharea,Acantharea,CN19_Nisk_PB_Dusk_10m_1,0
Acantharea,Acantharea,CN19_Nisk_PB_Dusk_10m_2,2.28E-05
Acantharea,Acantharea,CN19_Nisk_PB_Dusk_5m_1,3.44E-05
Acantharea,Acantharea,CN19_Nisk_PB_Dusk_5m_2,1.21E-05
Acantharea,Acantharea,CN19_Nisk_PB_Dusk_70m_1,8.28E-05
Acantharea,Acantharea,CN19_Nisk_PB_Dusk_70m_2,0.000229565
Acantharea,Acantharea,CN19_Nisk_PB_Dusk_70m_3,0.000238906
Acantharea,Acantharea,CN19_Nisk_PB_Night_100m_2,0.001782335
Acantharea,Acantharea,CN19_Nisk_PB_Night_100m_3,0.002746531
Acantharea,Acantharea,CN19_Nisk_PB_Night_15m_1,0
Acantharea,Acantharea,CN19_Nisk_PB_Night_15m_2,7.26E-05
Acantharea,Acantharea,CN19_Nisk_PB_Night_5m_1,0
Acantharea,Acantharea,CN19_Nisk_PB_Night_5m_2,1.26E-05
Acantharea,Acantharea,CN19_Nisk_PS_Dawn_100m_1,0.002419722
Acantharea,Acantharea,CN19_Nisk_PS_Dawn_100m_2,0.002980149
Acantharea,Acantharea,CN19_Nisk_PS_Dawn_100m_3,0.003538732
Acantharea,Acantharea,CN19_Nisk_PS_Dawn_10m_1,2.99E-05
Acantharea,Acantharea,CN19_Nisk_PS_Dawn_10m_2,5.78E-05
Acantharea,Acantharea,CN19_Nisk_PS_Dawn_5m_1,0.000236418
Acantharea,Acantharea,CN19_Nisk_PS_Dusk_10m_1,1.54E-05
Acantharea,Acantharea,CN19_Nisk_PS_Dusk_10m_2,5.32E-05
Acantharea,Acantharea,CN19_Nisk_PS_Dusk_5m_1,7.87E-05
Acantharea,Acantharea,CN19_Nisk_PS_Dusk_5m_2,3.28E-05
Acantharea,Acantharea,CN19_Nisk_PS_Dusk_75m_1,0.001504482
Acantharea,Acantharea,CN19_Nisk_PS_Dusk_75m_2,0.001082043
Acantharea,Acantharea,CN19_Nisk_PS_Dusk_75m_3,0.000833862
Acantharea,Acantharea,CN19_Nisk_SM_Dawn_100m_1,0.005341428
Acantharea,Acantharea,CN19_Nisk_SM_Dawn_100m_2,0.003786739
Acantharea,Acantharea,CN19_Nisk_SM_Dawn_100m_3,0.00031117
Acantharea,Acantharea,CN19_Nisk_SM_Dawn_11m_1,2.03E-05
Acantharea,Acantharea,CN19_Nisk_SM_Dawn_11m_2,3.61E-05
Acantharea,Acantharea,CN19_Nisk_SM_Dawn_5m_1,3.32E-05
Acantharea,Acantharea,CN19_Nisk_SM_Day_100m_1,0.024101904
Acantharea,Acantharea,CN19_Nisk_SM_Day_100m_2,0.026401557
Acantharea,Acantharea,CN19_Nisk_SM_Day_100m_3,0.03181914
Acantharea,Acantharea,CN19_Nisk_SM_Day_10m_1,5.80E-05
Acantharea,Acantharea,CN19_Nisk_SM_Day_10m_2,0
Acantharea,Acantharea,CN19_Nisk_SM_Day_5m_1,0.000156632
Acantharea,Acantharea,CN19_Nisk_SM_Day_5m_2,2.24E-05
Acantharea,Acantharea,CN19_Nisk_SM_Dusk_100m_1,0.006777992
Acantharea,Acantharea,CN19_Nisk_SM_Dusk_100m_2,0.005073733
Acantharea,Acantharea,CN19_Nisk_SM_Dusk_100m_3,0.006825266
Acantharea,Acantharea,CN19_Nisk_SM_Dusk_50m_1,5.99E-05
Acantharea,Acantharea,CN19_Nisk_SM_Dusk_50m_2,1.23E-05
Acantharea,Acantharea,CN19_Nisk_SM_Dusk_5m_1,1.43E-05
Acantharea,Acantharea,CN19_Nisk_SM_Dusk_5m_2,0
Acantharea,Acantharea,CN19_Nisk_SM_Night_100m_1,0.004187313
Acantharea,Acantharea,CN19_Nisk_SM_Night_100m_2,0.004472134
Acantharea,Acantharea,CN19_Nisk_SM_Night_100m_3,0.00313034
Acantharea,Acantharea,CN19_Nisk_SM_Night_23m_1,2.97E-05
Acantharea,Acantharea,CN19_Nisk_SM_Night_23m_2,1.29E-05
Acantharea,Acantharea,CN19_Nisk_SM_Night_5m_1,6.65E-05
Acantharea,Acantharea,CN19_Nisk_SM_Night_5m_2,0
Acantharea,Acantharea,Lasker18Sc122_17_D0057,1.80E-05
Acantharea,Acantharea,Lasker18Sc122_19_D0058,7.97E-05
Acantharea,Acantharea,Lasker18Sc122_3_D0052,0.011563795
Acantharea,Acantharea,Lasker18Sc122_5_D0053,0.016406355
Acantharea,Acantharea,Lasker18Sc123_17_D0068,2.98E-05
Acantharea,Acantharea,Lasker18Sc123_19_D0069,8.99E-06
Acantharea,Acantharea,Lasker18Sc123_3_D0063,0.001097485
Acantharea,Acantharea,Lasker18Sc123_5_D0064,0.001240498
Acantharea,Acantharea,Lasker18Sc124_17_D0078,0.001223754
Acantharea,Acantharea,Lasker18Sc124_19_D0079,0.001578053
Acantharea,Acantharea,Lasker18Sc124_3_D0073,0.007907301
Acantharea,Acantharea,Lasker18Sc124_5_D0074,0.01651145
Acantharea,Acantharea,Lasker18Sc126_17_D0090,0.000132181
Acantharea,Acantharea,Lasker18Sc126_3_D0085,0.009932171
Acantharea,Acantharea,Lasker18Sc126_5_D0086,0.007964854
Acantharea,Acantharea,Lasker18Sc127_17_D0100,0.000421792
Acantharea,Acantharea,Lasker18Sc127_19_D0101,0.000428046
Acantharea,Acantharea,Lasker18Sc127_3_D0095,0.016428546
Acantharea,Acantharea,Lasker18Sc127_5_D0096,0.029442236
Acantharea,Acantharea,Lasker18Sc128_16_D0110,0.000315918
Acantharea,Acantharea,Lasker18Sc128_19_D0111,0.000427708
Acantharea,Acantharea,Lasker18Sc128_3_D0105,0.022062539
Acantharea,Acantharea,Lasker18Sc128_7_D0107,0.022268248
Acantharea,Acantharea,Lasker18Sc129_17_D0121,0.001186267
Acantharea,Acantharea,Lasker18Sc129_19_D0122,0.001707934
Acantharea,Acantharea,Lasker18Sc129_3_D0116,0.000569476
Acantharea,Acantharea,Lasker18Sc129_5_D0117,0.001137612
Acantharea,Acantharea,Lasker18Sc130_17_D0132,0.000198038
Acantharea,Acantharea,Lasker18Sc130_19_D0133,0
Acantharea,Acantharea,Lasker18Sc130_3_D0127,0.002259712
Acantharea,Acantharea,Lasker18Sc130_5_D0128,0.001680071
Acantharea,Acantharea,Lasker18Sc132_17_D0142,2.86E-05
Acantharea,Acantharea,Lasker18Sc132_19_D0143,0
Acantharea,Acantharea,Lasker18Sc132_3_D0137,0.003792236
Acantharea,Acantharea,Lasker18Sc132_5_D0138,0.003429703
Acantharea,Acantharea,Lasker18Sc133_17_D0152,0
Acantharea,Acantharea,Lasker18Sc133_19_D0153,2.37E-05
Acantharea,Acantharea,Lasker18Sc133_3_D0147,0.002248596
Acantharea,Acantharea,Lasker18Sc133_5_D0148,0.001041752
Acantharea,Acantharea,Lasker18Sc134_17_D0163,0
Acantharea,Acantharea,Lasker18Sc134_19_D0164,0.000103936
Acantharea,Acantharea,Lasker18Sc134_3_D0158,6.09E-05
Acantharea,Acantharea,Lasker18Sc134_5_D0159,0.000219812
Acantharea,Acantharea,Lasker18Sc135_17_D0173,0
Acantharea,Acantharea,Lasker18Sc135_19_D0174,0
Acantharea,Acantharea,Lasker18Sc158_17_D0275,7.06E-06
Acantharea,Acantharea,Lasker18Sc158_19_D0276,0
Acantharea,Acantharea,Lasker18Sc158_3_D0270,0.000727928
Acantharea,Acantharea,Lasker18Sc158_5_D0271,0.000426746
Annelida,Polychaeta,CN18FESPkoa_SC24,0.001138394
Annelida,Polychaeta,CN18FESPkoa_SC26,0.000576975
Annelida,Polychaeta,CN18FESPkoa_SC29,0.000890778
