Metagenome ID,Dataset,Sample type,Date collected,Depth (m),# Raw reads,# QC'd reads,Average QC'd read length (bp),# bps (QCd),Amplicon ID,# 18S QC'd reads,average 18S QC'd read length (bp),# bps (QC'd),# COI reads,average COI read length (bp),#bps (QC'd)
zr2760_61,CANON2018,ESP,6/8/18,24,24343735,2966422545,140.4,4.16E+11,CN18SESPkoa_SC36,45669,180,8220420,74608,313,23352304
zr2760_25,CANON2018,ESP,6/8/18,202,19081202,17046076,140.9,2401792108,CN18SESPkoa_SC37,3987,180,717660,69330,313,21700290
zr2760_73,CANON2018,ESP,6/7/18,25,16139267,2044116056,141.3,2.89E+11,CN18SESPkoa_SC39,22588,180,4065840,58459,313,18297667
zr2760_17,CANON2018,ESP,6/7/18,202,22056872,19758460,141.6,2797797936,CN18SESPkoa_SC40,12793,180,2302740,64520,313,20194760
zr2760_74,CANON2018,ESP,6/7/18,28,15574325,1868748134,141.5,2.64E+11,CN18SESPkoa_SC41,15046,180,2708280,71582,313,22405166
zr2760_78,CANON2018,ESP,6/7/18,25,14840810,1946094155,138.9,2.70E+11,CN18SESPkoa_SC44,33765,180,6077700,60312,313,18877656
zr2760_23,CANON2018,ESP,6/7/18,202,13789988,12359720,142.4,1760024128,CN18SESPkoa_SC45,10403,180,1872540,53530,313,16754890
zr2760_10,CANON2018,ESP,6/6/18,203,25421182,6841963,143.6,982505886.8,CN18SESPkoa_SC47,17455,180,3141900,88117,313,27580621
zr2760_12,CANON2018,ESP,6/6/18,202,95366687,85337382,140.3,11972834695,CN18SESPkoa_SC49,10957,180,1972260,84379,313,26410627
Lasker18Sc122_3_D0052,RREAS2018,CTD,6/3/18,100,48883910,86807006,141.8,12309233451,Lasker18Sc122_3_D0052,60003,180,10800540,34063,313,10661719
Lasker18Sc122_5_D0053,RREAS2018,CTD,6/3/18,100,55960464,99387898,142,14113081516,Lasker18Sc122_5_D0053,60075,180,10813500,64735,313,20262055
Lasker18Sc122_17_D0057,RREAS2018,CTD,6/3/18,18,47328269,84192452,142.1,11963747429,Lasker18Sc122_17_D0057,116706,180,21007080,76319,313,23887847
Lasker18Sc122_19_D0058,RREAS2018,CTD,6/3/18,18,74092229,132014202,142.4,18798822365,Lasker18Sc122_19_D0058,132669,180,23880420,69006,313,21598878
Lasker18Sc123_3_D0063,RREAS2018,CTD,6/4/18,100,65188148,115373992,141.7,16348494666,Lasker18Sc123_3_D0063,114295,180,20573100,35687,313,11170031
Lasker18Sc123_5_D0064,RREAS2018,CTD,6/4/18,100,47777675,85644472,142.7,12221466154,Lasker18Sc123_5_D0064,84102,180,15138360,68474,313,21432362
Lasker18Sc123_17_D0068,RREAS2018,CTD,6/4/18,10,46487785,81934556,141,11552772396,Lasker18Sc123_17_D0068,67293,180,12112740,67063,313,20990719
Lasker18Sc123_19_D0069,RREAS2018,CTD,6/4/18,10,58508495,100481660,140.2,14087528732,Lasker18Sc123_19_D0069,111915,180,20144700,52054,313,16292902
Lasker18Sc124_3_D0073,RREAS2018,CTD,6/4/18,100,48655395,86177838,141.7,12211399645,Lasker18Sc124_3_D0073,65695,180,11825100,47990,313,15020870
Lasker18Sc124_5_D0074,RREAS2018,CTD,6/4/18,100,49427642,87249490,141.7,12363252733,Lasker18Sc124_5_D0074,49600,180,8928000,67389,313,21092757
Lasker18Sc124_19_D0079,RREAS2018,CTD,6/4/18,10,39938829,70273280,141.1,9915559808,Lasker18Sc124_19_D0079,69110,180,12439800,32003,313,10016939
Lasker18Sc126_3_D0085,RREAS2018,CTD,6/5/18,100,55775521,96494520,140.6,13567129512,Lasker18Sc126_3_D0085,76330,180,13739400,38570,313,12072410
Lasker18Sc126_5_D0086,RREAS2018,CTD,6/5/18,100,48525495,86073104,141.8,12205166147,Lasker18Sc126_5_D0086,64489,180,11608020,61894,313,19372822
Lasker18Sc126_17_D0090,RREAS2018,CTD,6/5/18,4,50640472,90693530,141.1,12796857083,Lasker18Sc126_17_D0090,115855,180,20853900,36420,313,11399460
Lasker18Sc127_3_D0095,RREAS2018,CTD,6/5/18,100,67806267,120897136,142.1,17179483026,Lasker18Sc127_3_D0095,62496,180,11249280,36377,313,11386001
Lasker18Sc127_5_D0096,RREAS2018,CTD,6/5/18,100,52322584,94436572,142.4,13447767853,Lasker18Sc127_5_D0096,47204,180,8496720,79173,313,24781149
Lasker18Sc127_17_D0100,RREAS2018,CTD,6/5/18,10,40812627,70128744,142.9,10021397518,Lasker18Sc127_17_D0100,97245,180,17504100,78145,313,24459385
Lasker18Sc127_19_D0101,RREAS2018,CTD,6/5/18,10,54606985,96897606,139,13468767234,Lasker18Sc127_19_D0101,111636,180,20094480,43115,313,13494995
Lasker18Sc128_3_D0105,RREAS2018,CTD,6/5/18,100,58461560,101070950,140.6,14210575570,Lasker18Sc128_3_D0105,79353,180,14283540,14139,313,4425507
Lasker18Sc128_7_D0107,RREAS2018,CTD,6/5/18,100,52639925,93012106,140.6,13077502104,Lasker18Sc128_7_D0107,99947,180,17990460,49576,313,15517288
Lasker18Sc128_16_D0110,RREAS2018,CTD,6/5/18,10,73896700,131088994,141.5,18549092651,Lasker18Sc128_16_D0110,52362,180,9425160,57445,313,17980285
Lasker18Sc128_19_D0111,RREAS2018,CTD,6/5/18,10,49235908,87775370,141.6,12428992392,Lasker18Sc128_19_D0111,108417,180,19515060,48125,313,15063125
Lasker18Sc129_3_D0116,RREAS2018,CTD,6/6/18,50,50122475,89028300,141.9,12633115770,Lasker18Sc129_3_D0116,74371,180,13386780,30561,313,9565593
Lasker18Sc129_5_D0117,RREAS2018,CTD,6/6/18,50,48646596,87347724,141.8,12385907263,Lasker18Sc129_5_D0117,53992,180,9718560,52043,313,16289459
Lasker18Sc129_17_D0121,RREAS2018,CTD,6/6/18,8,46148319,82536646,142.6,11769725720,Lasker18Sc129_17_D0121,93968,180,16914240,75635,313,23673755
Lasker18Sc129_19_D0122,RREAS2018,CTD,6/6/18,8,35951627,63956694,141.7,9062663540,Lasker18Sc129_19_D0122,116596,180,20987280,48276,313,15110388
Lasker18Sc130_3_D0127,RREAS2018,CTD,6/7/18,100,52409779,92573232,140.5,13006539096,Lasker18Sc130_3_D0127,62256,180,11206080,46712,313,14620856
Lasker18Sc130_5_D0128,RREAS2018,CTD,6/7/18,100,55793517,98580082,141.8,13978655628,Lasker18Sc130_5_D0128,59962,180,10793160,59038,313,18478894
Lasker18Sc130_17_D0132,RREAS2018,CTD,6/7/18,10,43586382,76838168,141.9,10903336039,Lasker18Sc130_17_D0132,98036,180,17646480,63780,313,19963140
Lasker18Sc130_19_D0133,RREAS2018,CTD,6/7/18,10,40856124,71381674,140.9,10057677867,Lasker18Sc130_19_D0133,89250,180,16065000,65209,313,20410417
Lasker18Sc132_3_D0137,RREAS2018,CTD,6/7/18,100,50780020,90409018,140.3,12684385225,Lasker18Sc132_3_D0137,59793,180,10762740,43424,313,13591712
Lasker18Sc132_5_D0138,RREAS2018,CTD,6/7/18,100,42811359,76353402,142.4,10872724445,Lasker18Sc132_5_D0138,44473,180,8005140,39756,313,12443628
Lasker18Sc132_17_D0142,RREAS2018,CTD,6/7/18,10,63444918,112577094,142.5,16042235895,Lasker18Sc132_17_D0142,111759,180,20116620,42226,313,13216738
Lasker18Sc132_19_D0143,RREAS2018,CTD,6/7/18,10,60772644,108552644,141.3,15338488597,Lasker18Sc132_19_D0143,103756,180,18676080,30384,313,9510192
Lasker18Sc133_3_D0147,RREAS2018,CTD,6/7/18,70,48929019,87225268,142,12385988056,Lasker18Sc133_3_D0147,81986,180,14757480,38779,313,12137827
Lasker18Sc133_5_D0148,RREAS2018,CTD,6/7/18,70,43716794,78143822,142.4,11127680253,Lasker18Sc133_5_D0148,129996,180,23399280,67109,313,21005117
Lasker18Sc133_17_D0152,RREAS2018,CTD,6/7/18,10,47428416,84061700,142.2,11953573740,Lasker18Sc133_17_D0152,89853,180,16173540,64817,313,20287721
Lasker18Sc133_19_D0153,RREAS2018,CTD,6/7/18,10,45335961,80190968,141.6,11355041069,Lasker18Sc133_19_D0153,132407,180,23833260,54274,313,16987762
Lasker18Sc134_3_D0158,RREAS2018,CTD,6/8/18,50,55155470,97578710,140.8,13739082368,Lasker18Sc134_3_D0158,87971,180,15834780,55175,313,17269775
Lasker18Sc134_5_D0159,RREAS2018,CTD,6/8/18,50,43825155,78509866,141.8,11132698999,Lasker18Sc134_5_D0159,73402,180,13212360,52019,313,16281947
Lasker18Sc134_17_D0163,RREAS2018,CTD,6/8/18,10,48402535,85678666,142.6,12217777772,Lasker18Sc134_17_D0163,110913,180,19964340,36659,313,11474267
Lasker18Sc134_19_D0164,RREAS2018,CTD,6/8/18,10,50892713,91213074,141.3,12888407356,Lasker18Sc134_19_D0164,109519,180,19713420,27701,313,8670413
Lasker18Sc135_17_D0173,RREAS2018,CTD,6/8/18,10,34383484,58785912,141.2,8300570774,Lasker18Sc135_17_D0173,143421,180,25815780,81675,313,25564275
Lasker18Sc135_19_D0174,RREAS2018,CTD,6/8/18,10,45909895,78301210,141.7,11095281457,Lasker18Sc135_19_D0174,84051,180,15129180,43234,313,13532242
Lasker18Sc158_3_D0270,RREAS2018,CTD,6/10/18,70,50978522,90200508,139.5,12582970866,Lasker18Sc158_3_D0270,86815,180,15626700,37031,313,11590703
Lasker18Sc158_5_D0271,RREAS2018,CTD,6/10/18,70,60720739,107076630,138.8,14862236244,Lasker18Sc158_5_D0271,96250,180,17325000,25309,313,7921717
Lasker18Sc158_17_D0275,RREAS2018,CTD,6/10/18,20,64165698,112665062,140.7,15851974223,Lasker18Sc158_17_D0275,159755,180,28755900,62246,313,19482998
Lasker18Sc158_19_D0276,RREAS2018,CTD,6/10/18,20,48006677,84103144,140.9,11850132990,Lasker18Sc158_19_D0276,103089,180,18556020,52439,313,16413407
1903buk1_0m-1,RREAS2019,CTD,5/31/19,0,499688,"409,956",139.5,57188862,CN19_Buck1_SN_0m_1,93058,180,16750440,69121,313,21634873
1903buk1_0m-2,RREAS2019,CTD,5/31/19,0,2527932,"2,170,584",140.1,304098818.4,CN19_Buck1_SN_0m_2,82703,180,14886540,104618,313,32745434
1903buk2_0m-1,RREAS2019,CTD,6/1/19,0,5977792,"4,763,928",142.1,676954168.8,CN19_Buck2_SN_0m_1,72354,180,13023720,94697,313,29640161
1903buk2_0m-2,RREAS2019,CTD,6/1/19,0,11026766,"8,899,042",140.9,1253875018,CN19_Buck2_SN_0m_2,85433,180,15377940,102979,313,32232427
1903buk3_0m-1,RREAS2019,CTD,6/1/19,0,9613024,"7,849,220",140.6,1103600332,CN19_Buck3_SN_0m_1,68256,180,12286080,85338,313,26710794
1903buk4_0m-1,RREAS2019,CTD,6/2/19,0,855118,"747,182",141.8,105950407.6,CN19_Buck4_SM_Night_0m_1,95150,180,17127000,95818,313,29991034
1903buk4_0m-2,RREAS2019,CTD,6/2/19,0,1999276,"1,729,084",141.7,245011202.8,CN19_Buck4_SM_Night_0m_2,90767,180,16338060,104193,313,32612409
1903_buk5-1,RREAS2019,CTD,6/3/19,0,21900066,"16,615,156",141.2,2346060027,CN19_Buck5_0m_1,61734,180,11112120,97313,313,30458969
1903_buk5-2,RREAS2019,CTD,6/3/19,0,23218706,"17,291,602",140.5,2429470081,CN19_Buck5_0m_2,72308,180,13015440,103314,313,32337282
1903_buk6-1,RREAS2019,CTD,6/5/19,0,28799004,"23,370,560",141.9,3316282464,CN19_Buck6_Dav_Night_0m_1,125993,180,22678740,1957241,313,612616433
1903_buk6-2,RREAS2019,CTD,6/5/19,0,17055800,"13,219,236",140.5,1857302658,CN19_Buck6_Dav_Night_0m_2,125312,180,22556160,80480,313,25190240
1903c111_100m-1,RREAS2019,CTD,5/31/19,100,19168306,"14,499,710",133.1,1929911401,CN19_Nisk_PS_Dawn_100m_1,65331,180,11759580,106042,313,33191146
1903c111_100m-2,RREAS2019,CTD,5/31/19,100,27257440,"21,225,980",136.4,2895223672,CN19_Nisk_PS_Dawn_100m_2,49115,180,8840700,76802,313,24039026
1903c111_100m-3,RREAS2019,CTD,5/31/19,100,16444628,"13,083,030",137.9,1804149837,CN19_Nisk_PS_Dawn_100m_3,53066,180,9551880,87811,313,27484843
1903c111_10m-1,RREAS2019,CTD,5/31/19,10,25175638,"19,913,840",129.7,2582825048,CN19_Nisk_PS_Dawn_10m_1,101779,180,18320220,118979,313,37240427
1903c111_10m-2,RREAS2019,CTD,5/31/19,10,29538694,"23,067,126",139.4,3215557364,CN19_Nisk_PS_Dawn_10m_2,69955,180,12591900,112929,313,35346777
1903c111_5m-1_NOAA1163b,RREAS2019,CTD,5/31/19,5,25968820,"20,100,848",137.6,2765876685,CN19_Nisk_PS_Dawn_5m_1,63966,180,11513880,148118,313,46360934
1903c114_100m-1,RREAS2019,CTD,6/1/19,100,21627136,"16,718,928",140,2340649920,CN19_Nisk_SM_Day_100m_1,40824,180,7348320,58821,313,18410973
1903c114_100m-2,RREAS2019,CTD,6/1/19,100,28227648,"22,813,550",139,3171083450,CN19_Nisk_SM_Day_100m_2,53064,180,9551520,82497,313,25821561
1903c114_100m-3,RREAS2019,CTD,6/1/19,100,37885028,"30,602,768",138,4223181984,CN19_Nisk_SM_Day_100m_3,41629,180,7493220,88563,313,27720219
1903c114_10m-1,RREAS2019,CTD,6/1/19,10,5922522,"5,095,630",134.2,683833546,CN19_Nisk_SM_Day_10m_1,69297,180,12473460,97725,313,30587925
1903c114_10m-2,RREAS2019,CTD,6/1/19,10,15868212,"13,279,606",136.6,1813994180,CN19_Nisk_SM_Day_10m_2,63746,180,11474280,92562,313,28971906
1903c114_5m-2,RREAS2019,CTD,6/1/19,5,2504656,"2,151,160",131,281801960,CN19_Nisk_SM_Day_5m_2,89866,180,16175880,104638,313,32751694
1903c117_100m-1,RREAS2019,CTD,6/1/19,100,16230242,"12,887,104",138.8,1788730035,CN19_Nisk_SM_Dusk_100m_1,58224,180,10480320,97736,313,30591368
1903c117_100m-2,RREAS2019,CTD,6/1/19,100,38782734,"32,846,164",125.6,4125478198,CN19_Nisk_SM_Dusk_100m_2,69652,180,12537360,31371,313,9819123
1903c117_100m-3,RREAS2019,CTD,6/1/19,100,16047444,"12,848,588",138.7,1782099156,CN19_Nisk_SM_Dusk_100m_3,62910,180,11323800,86816,313,27173408
1903c117_50m-1,RREAS2019,CTD,6/1/19,50,17344742,"13,653,220",133.3,1819974226,CN19_Nisk_SM_Dusk_50m_1,101075,180,18193500,133665,313,41837145
1903c117_50m-2,RREAS2019,CTD,6/1/19,50,43912312,"35,745,788",138.3,4943642480,CN19_Nisk_SM_Dusk_50m_2,81691,180,14704380,86504,313,27075752
1903c117_5m-1,RREAS2019,CTD,6/1/19,5,23284594,"17,873,856",139,2484465984,CN19_Nisk_SM_Dusk_5m_1,70437,180,12678660,86420,313,27049460
1903c118_100m-1,RREAS2019,CTD,6/2/19,100,31373300,"25,122,034",137.8,3461816285,CN19_Nisk_SM_Night_100m_1,74681,180,13442580,116727,313,36535551
1903c118_100m-2,RREAS2019,CTD,6/2/19,100,25388736,"19,810,724",137.4,2721993478,CN19_Nisk_SM_Night_100m_2,69321,180,12477780,112610,313,35246930
1903c118_23m-1,RREAS2019,CTD,6/2/19,23,,"7,886,408",130.8,1031542166,CN19_Nisk_SM_Night_23m_1,61791,180,6255720,81585,313,25536105
1903c118_5m-1,RREAS2019,CTD,6/2/19,5,,"10,898,084",138.6,1510474442,CN19_Nisk_SM_Night_5m_1,67664,180,11122380,94172,313,29475836
1903c118_5m-2,RREAS2019,CTD,6/2/19,5,,"9,716,086",137.8,1338876651,CN19_Nisk_SM_Night_5m_2,34754,180,12179520,88749,313,27778437
1903c119_100m-1,RREAS2019,CTD,6/2/19,100,17302192,"13,948,460",137.6,1919308096,CN19_Nisk_SM_Dawn_100m_1,47105,180,8478900,50750,313,15884750
1903c119_100m-2,RREAS2019,CTD,6/2/19,100,22964246,"18,044,364",137.2,2475686741,CN19_Nisk_SM_Dawn_100m_2,43717,180,7869060,77979,313,24407427
1903c119_100m-3,RREAS2019,CTD,6/2/19,100,32474692,"26,820,146",139.3,3736046338,CN19_Nisk_SM_Dawn_100m_3,71585,180,12885300,111744,313,34975872
1903c119_11m-1,RREAS2019,CTD,6/2/19,11,6275260,"5,244,576",134.1,703297641.6,CN19_Nisk_SM_Dawn_11m_1,98877,180,17797860,105752,313,33100376
1903c119_11m-2,RREAS2019,CTD,6/2/19,11,19806292,"16,310,022",137.9,2249152034,CN19_Nisk_SM_Dawn_11m_2,83966,180,15113880,82807,313,25918591
1903c119_5m-2,RREAS2019,CTD,6/2/19,5,26620266,"22,527,006",134.9,3038893109,CN19_Nisk_SM_Dawn_5m_1,91101,180,16398180,81706,313,25573978
1903c122_100m-1,RREAS2019,CTD,6/2/19,100,20894540,"16,747,472",137.8,2307801642,CN19_Nisk_PB_Day_100m_1,63731,180,11471580,114121,313,35719873
1903c122_100m-2_NOAA1163b,RREAS2019,CTD,6/2/19,100,36540084,"28,322,188",138.8,3931119694,CN19_Nisk_PB_Day_100m_2,64636,180,11634480,109627,313,34313251
