Phylum,Class,COI sample,COI reads
Annelida,Polychaeta,CN19_Nisk_MO_Night_5m_1,9.52E-06
Annelida,Polychaeta,CN19_Nisk_MO_Night_5m_2,0.005989675
Annelida,Polychaeta,CN19_Nisk_MO_Night_7m_1,0.002723508
Annelida,Polychaeta,CN19_Nisk_PB_Dawn_100m_1,0.001637701
Annelida,Polychaeta,CN19_Nisk_PB_Dawn_100m_2,0.000451175
Annelida,Polychaeta,CN19_Nisk_PB_Dawn_100m_3,0.000424843
Annelida,Polychaeta,CN19_Nisk_PB_Dawn_45m_1,0
Annelida,Polychaeta,CN19_Nisk_PB_Dawn_45m_2,1.10E-05
Annelida,Polychaeta,CN19_Nisk_PB_Dawn_5m_1,0
Annelida,Polychaeta,CN19_Nisk_PB_Dawn_5m_2,0
Annelida,Polychaeta,CN19_Nisk_PB_Day_100m_1,5.20E-05
Annelida,Polychaeta,CN19_Nisk_PB_Day_100m_2,5.34E-05
Annelida,Polychaeta,CN19_Nisk_PB_Day_100m_3,0
Annelida,Polychaeta,CN19_Nisk_PB_Day_28m_1,0
Annelida,Polychaeta,CN19_Nisk_PB_Day_28m_2,1.74E-05
Annelida,Polychaeta,CN19_Nisk_PB_Day_5m_1,8.76E-06
Annelida,Polychaeta,CN19_Nisk_PB_Day_5m_2,8.48E-06
Annelida,Polychaeta,CN19_Nisk_PB_Dusk_10m_1,3.89E-05
Annelida,Polychaeta,CN19_Nisk_PB_Dusk_10m_2,0.026819741
Annelida,Polychaeta,CN19_Nisk_PB_Dusk_5m_1,0.002548504
Annelida,Polychaeta,CN19_Nisk_PB_Dusk_5m_2,0.002915248
Annelida,Polychaeta,CN19_Nisk_PB_Dusk_70m_1,0.00303117
Annelida,Polychaeta,CN19_Nisk_PB_Dusk_70m_2,0.007000252
Annelida,Polychaeta,CN19_Nisk_PB_Dusk_70m_3,0.007076213
Annelida,Polychaeta,CN19_Nisk_PB_Night_100m_2,0.002797053
Annelida,Polychaeta,CN19_Nisk_PB_Night_100m_3,0.002767122
Annelida,Polychaeta,CN19_Nisk_PB_Night_15m_1,0.026830956
Annelida,Polychaeta,CN19_Nisk_PB_Night_15m_2,6.34E-05
Annelida,Polychaeta,CN19_Nisk_PB_Night_5m_1,0.000965791
Annelida,Polychaeta,CN19_Nisk_PB_Night_5m_2,0.00020658
Annelida,Polychaeta,CN19_Nisk_PS_Dawn_100m_1,1.22E-05
Annelida,Polychaeta,CN19_Nisk_PS_Dawn_100m_2,0.000186923
Annelida,Polychaeta,CN19_Nisk_PS_Dawn_100m_3,0
Annelida,Polychaeta,CN19_Nisk_PS_Dawn_10m_1,0
Annelida,Polychaeta,CN19_Nisk_PS_Dawn_10m_2,0
Annelida,Polychaeta,CN19_Nisk_PS_Dawn_5m_1,0
Annelida,Polychaeta,CN19_Nisk_PS_Dusk_10m_1,0
Annelida,Polychaeta,CN19_Nisk_PS_Dusk_10m_2,3.90E-05
Annelida,Polychaeta,CN19_Nisk_PS_Dusk_5m_1,0.001113923
Annelida,Polychaeta,CN19_Nisk_PS_Dusk_5m_2,5.77E-05
Annelida,Polychaeta,CN19_Nisk_PS_Dusk_75m_1,0
Annelida,Polychaeta,CN19_Nisk_PS_Dusk_75m_2,2.97E-05
Annelida,Polychaeta,CN19_Nisk_PS_Dusk_75m_3,7.42E-05
Annelida,Polychaeta,CN19_Nisk_SM_Dawn_100m_1,0
Annelida,Polychaeta,CN19_Nisk_SM_Dawn_100m_2,1.94E-05
Annelida,Polychaeta,CN19_Nisk_SM_Dawn_100m_3,0.006620538
Annelida,Polychaeta,CN19_Nisk_SM_Dawn_11m_1,0.000631773
Annelida,Polychaeta,CN19_Nisk_SM_Dawn_11m_2,0.009098878
Annelida,Polychaeta,CN19_Nisk_SM_Dawn_5m_1,7.61E-05
Annelida,Polychaeta,CN19_Nisk_SM_Day_100m_1,0.009483048
Annelida,Polychaeta,CN19_Nisk_SM_Day_100m_2,0.005718819
Annelida,Polychaeta,CN19_Nisk_SM_Day_100m_3,0.015598561
Annelida,Polychaeta,CN19_Nisk_SM_Day_10m_1,0
Annelida,Polychaeta,CN19_Nisk_SM_Day_10m_2,0
Annelida,Polychaeta,CN19_Nisk_SM_Day_5m_1,0.013951111
Annelida,Polychaeta,CN19_Nisk_SM_Day_5m_2,7.74E-05
Annelida,Polychaeta,CN19_Nisk_SM_Dusk_100m_1,0.000522591
Annelida,Polychaeta,CN19_Nisk_SM_Dusk_100m_2,0
Annelida,Polychaeta,CN19_Nisk_SM_Dusk_100m_3,6.00E-05
Annelida,Polychaeta,CN19_Nisk_SM_Dusk_50m_1,7.69E-06
Annelida,Polychaeta,CN19_Nisk_SM_Dusk_50m_2,0.00027197
Annelida,Polychaeta,CN19_Nisk_SM_Dusk_5m_1,0
Annelida,Polychaeta,CN19_Nisk_SM_Dusk_5m_2,3.67E-05
Annelida,Polychaeta,CN19_Nisk_SM_Night_100m_1,0.002028292
Annelida,Polychaeta,CN19_Nisk_SM_Night_100m_2,0.000562352
Annelida,Polychaeta,CN19_Nisk_SM_Night_100m_3,0.004221914
Annelida,Polychaeta,CN19_Nisk_SM_Night_23m_1,5.18E-05
Annelida,Polychaeta,CN19_Nisk_SM_Night_23m_2,6.55E-05
Annelida,Polychaeta,CN19_Nisk_SM_Night_5m_1,0
Annelida,Polychaeta,CN19_Nisk_SM_Night_5m_2,5.87E-05
Annelida,Polychaeta,Lasker18Sc122_17_D0057,2.68E-05
Annelida,Polychaeta,Lasker18Sc122_19_D0058,0.000132433
Annelida,Polychaeta,Lasker18Sc122_3_D0052,0.000160224
Annelida,Polychaeta,Lasker18Sc122_5_D0053,0.000255327
Annelida,Polychaeta,Lasker18Sc123_17_D0068,0.003138591
Annelida,Polychaeta,Lasker18Sc123_19_D0069,5.77E-05
Annelida,Polychaeta,Lasker18Sc123_3_D0063,3.32E-05
Annelida,Polychaeta,Lasker18Sc123_5_D0064,0.000390364
Annelida,Polychaeta,Lasker18Sc124_17_D0078,0.000102176
Annelida,Polychaeta,Lasker18Sc124_19_D0079,0.000163452
Annelida,Polychaeta,Lasker18Sc124_3_D0073,4.84E-05
Annelida,Polychaeta,Lasker18Sc124_5_D0074,0
Annelida,Polychaeta,Lasker18Sc126_17_D0090,0
Annelida,Polychaeta,Lasker18Sc126_3_D0085,0.000297366
Annelida,Polychaeta,Lasker18Sc126_5_D0086,8.19E-05
Annelida,Polychaeta,Lasker18Sc127_17_D0100,0.000336692
Annelida,Polychaeta,Lasker18Sc127_19_D0101,0.000200849
Annelida,Polychaeta,Lasker18Sc127_3_D0095,0
Annelida,Polychaeta,Lasker18Sc127_5_D0096,2.19E-05
Annelida,Polychaeta,Lasker18Sc128_16_D0110,3.64E-05
Annelida,Polychaeta,Lasker18Sc128_19_D0111,0
Annelida,Polychaeta,Lasker18Sc128_3_D0105,0.005331302
Annelida,Polychaeta,Lasker18Sc128_7_D0107,0
Annelida,Polychaeta,Lasker18Sc129_17_D0121,0.000109744
