Phylum,Total NCBI genome nts,Average # nts/metagenome,Total NCBI genome nts/average metagenome nts,Total NCBI COI nts,Average # COI nts/sample,Total NCBI COI nts/Average sample COI nts,Total NCBI 18S nts,Average 18S nts/sample,Total NCBI 18S nts/Average sample 18S nts,Average # sample COI bps/NCBI COI bps,Average # sample 18S bps/NCBI 18S bps,Total NCBI genome/COI bps,Total NCBI genome/18S bps
Tubulinea,39525480,29712101870,0.0013,14130,29449690,0.000479801,8030,8209792,0.0009781,2084.196037,1022.390037,2797.273885,4922.22665
Prasinodermophyta,0,29712101870,0.0000,314,29449690,1.06623E-05,330,8209792,4.01959E-05,93788.82166,24878.15758,0,0
Phaeosacciophyceae,0,29712101870,0.0000,942,29449690,3.19868E-05,220,8209792,2.67973E-05,31262.94055,37317.23636,0,0
Picozoa,0,29712101870,0.0000,942,29449690,3.19868E-05,660,8209792,8.03918E-05,31262.94055,12439.07879,0,0
Raphidophyceae,0,29712101870,0.0000,3454,29449690,0.000117285,2090,8209792,0.000254574,8526.256514,3928.130144,0,0
Centroplasthelida,0,29712101870,0.0000,4396,29449690,0.000149272,1540,8209792,0.000187581,6699.201547,5331.033766,0,0
Dictyochophyceae,0,29712101870,0.0000,6280,29449690,0.000213245,2310,8209792,0.000281371,4689.441083,3554.022511,0,0
Chaetognatha,0,29712101870,0.0000,7222,29449690,0.000245232,2200,8209792,0.000267973,4077.774855,3731.723636,0,0
Acantharea,0,29712101870,0.0000,11304,29449690,0.000383841,5390,8209792,0.000656533,2605.245046,1523.152505,0,0
Gastrotricha,0,29712101870,0.0000,15072,29449690,0.000511788,10890,8209792,0.001326465,1953.933785,753.8835629,0,0
Polycystinea,0,29712101870,0.0000,23550,29449690,0.000799669,10780,8209792,0.001313066,1250.517622,761.5762523,0,0
Xenacoelomorpha,2110876210,29712101870,0.0710,20724,29449690,0.000703709,10780,8209792,0.001313066,1421.042752,761.5762523,101856.6015,195814.1197
Phoronida,1249850312,29712101870,0.0421,1570,29449690,5.33113E-05,1430,8209792,0.000174182,18757.76433,5741.113287,796083.0013,874021.1972
